Venue,Rank
International Workshop on Combinatorial Image Analysis: Theory and Applications|IWCIA,C
International Workshop on Digital Watermarking|IWDW,C
International Workshop on Combinatorial Algorithm|IWOCA,C
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007)|IWSM Mensura,C
International Conference on the Statistical Analysis of Textual Data|JADT,C
International Conference on Legal Knowledge and Information Systems|JURIX,C
International Conference on Knowledge Engineering and Ontology Development|KEOD,C
International KES Conference on Agents and Multiagent systems - Technologies and Applications|KES AMSTA,C
KES International Symposium on Intelligent Decision Technologies|KES IDT,C
"International Conference on Knowledge Science, Engineering and Management|KSEM",C
Knowledge Visualization and Visual Thinking|KV,C
"Latin-American Algorithms, Graphs and Optimization Symposium|LAGOS",C
IEEE LAN/MAN Workshop|LANMAN,C
International Conference on Language and Automata Theory and Applications|LATA,C
"Language, Data and Knowledge|LDK",C
International Symposium on Logic-based Program Synthesis and Transformation|LOPSTR,C
International Workshop on MultiAgent Based Simulation|MABS,C
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop)|ISS,Journal Published
IEEE International Symposium on Wearable Computers|ISWC,Journal Published
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation|PERFORMANCE",Journal Published
Pacific Conference on Computer Graphics and Applications|PG,Journal Published
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013)|UbiComp,journal published
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems|CASES",Journal published
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play|CHI PLAY,Journal Published
Engineering Interactive Computing Systems|EICS,Journal Published
International Conference on Embedded Software|EMSOFT,Journal Published
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)|CODES+ISSS",Journal Published
International Conference on Reliable Software Technologies|Ada-Europe,Journal Published
Doing IT at Melbourne|DITAM,L
International Database Conference (HK CS)|IDC(W),L
Post-Graduate ADFA Conference on Computer Science|PACCS,L
International Conference on Computational Science|ICCS,Multiconference
ACM Symposium on Applied Computing|SAC,Multiconference
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)|VISIGRAPP",Multiconference
"IEEE International Conference on Acoustics, Speech and Signal Processing|ICASSP",Multiconference
International Workshop on Algebraic and Combinatorial Coding Theory|ACCT,National
International Work-conference on the Interplay between Natural and Artificial Computation|IWINAC,National
Computer Sciences and Information Technologies|CSIT,National
British Computer Society Conference on Human-Computer Interaction|HCI,National
International Symposium 'Problems of Redundancy in Information and Control Systems'|Redundancy,National Russia
International Conference on Recent Advances in Natural Language Processing|RANLP,National: bulgaria
"International Conference on Artificial Intelligence: Methodology, Systems, Applications|AIMSA",National: Bulgaria
IEEE International Conference on Information and Automation|IEEE ICIA,National: China
International Conference on Semantics Knowledge and Grid|SKG,National: China
International Symposium on Theoretical Aspects of Software Engineering|TASE,National: China
Testbeds and Research Infrastructures for the Development of Networks and Communities|TridentCom,National: China
International Conference on Image and Graphics|ICIG,National: China
International Conference on Machine Learning and Cybernetics|ICMLC,National: China
International Conference on Natural Computation|ICNC,National: China
SKLOIS Conference on Information Security and Cryptology|Inscrypt,National: China
International Conference on Intelligent Systems and Knowledge Engineering|ISKE,National: China
International Conference on Computational Intelligence and Security|CIS,National: China
International Frontiers of Algorithmics Workshop|FAW,National: China
Conference on Software in Telecommunications and Computer Networks|SOFTCOM,National: Croatia
Prague Stringology Conference|PSC,National: Czech
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision|WSCG",National: Czecholslovakia
International Conference on Real-Time and Network Systems|RTNS,National: France
"Conference on Innovation in Clouds, Internet and Networks|ICIN",National: France
European Conference on Pattern Languages of Programs|EuroPLop,National: Germany
Mensch & Computer|MuC,National: Germany
International Conference on VLSI Design|VLSID,National: India
International Conference on Distributed Computing and Internet Technologies|ICDCIT,National: India
International Conference on Information Systems Security|ICISS,National: India
Indian Conference on Human-Computer Interaction|IndiaHCI,National: India
International Conference on Cryptology in India|INDOCRYPT,National: India
International Conference on Distributed Computing and Networking|ICDCN,National: India
International Conference on Advanced Computing and Communications|AdCom,National: India
International Conference on Management of Data|COMAD,National: India
Foundations of Software Technology and Theoretical Computer Science|FST&TCS,National: India
International Conference on High Performance Computing|HiPC,National: India
International CSI Computer Conference|CSICC,National: Iran
International Machine Vision and Image Processing Conference|IMVIP,National: ireland
International Conference on Image Analysis and Processing|ICIAP,National: Italy
Conference on Fun with Algorithms|FUN,National: Italy
Conference on Security and Cryptography for Networks|SCN,National: Italy
Machine Vision Applications|MVA,National: japan
International Symposium on Functional and Logic Programming|FLOPS,National: Japan
International Workshop on Security|IWSEC,National: Japan
International Conference on Information Security and Cryptology|ICISC,National: Korea
International Workshop on Information Security Applications|WISA,National: korea
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)|RoVISP",National: Malaysia
International Conference on Frontiers of Information Technology|FIT,National: Pakistan
International Conference on Dependability of Computer Systems|DEPCoS,National: Poland
Multimedia and Network Information Systems|MISSI,National: Poland
International Conference on Parallel Processing and Applied Mathematics|PPAM,National: Poland
International Conference on Artificial Intelligence and Soft Computing|ICAISC,National: Poland
International Conference on Computer Vision and Graphics|ICCVG,National: Poland
Portuguese Conference on Artificial Intelligence|EPIA,National: Portugal
IEEE International Conference on Intelligent Computer Communication and Processing|ICCP,National: Romania
International Symposium on Applied Computational Intelligence and Informatics|SACI,National: Romania
International Workshop on Soft Computing Applications|SOFA,National: Romania
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing|SYNASC,National: romania
International Computer Science Symposium in Russia|CSR,National: Russia
Ershov Conference|PSI,National: Russia
"International Conference on Analysis of Images, Social Networks and Texts|AIST",National: Russia
International Symposium on Ubiquitous Virtual Reality|ISUVR,National: S. Korea
International Symposium on Intelligent Systems and Informatics|SISY,National: serbia
International Symposium on Applied Machine Intelligence and Informatics|SAMI,National: slovakia
International Work-Conference on Artificial and Natural Neural Networks|IWANN,National: Spain
Practical Applications of Agents and Multiagent Systems|PAAMS,National: Spain
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning|MIS4TEL,National: Spain
Computational Intelligence in Security for Information Systems|CISIS,National: Spain
International Conference on Hybrid Artificial Intelligence Systems|HAIS,National: Spain
International Conference on Advanced Technologies For Signal & Image Processing|ATSIP,National: Tunisia
Knowledge Domain Visualisation|KDViz,National: UK
SGAI International Conference on Artificial Intelligence|SGAI,National: UK
"ICT in Education, Research, and Industrial Applications|ICTERI",National: Ukraine
IEEE Symposium on High-Performance Interconnects|HOTI,National: USA
Workshop on Mobile Computing Systems and Applications|HOTMOBILE,National: USA
ACM Workshop on Hot Topics in Networks|HOTNETS,National: USA
IEEE Industry Applications Society Annual Conference|IAS,National: USA
International Conference on Artificial Intelligence|IC-AI,National: USA
International Conference on Information and Knowledge Engineering|IKE,National: USA
IEEE International Conference on Information Reuse and Integration|IRI,National: USA
International Symposium on Artificial Intelligence and Mathematics|ISAIM,National: USA
International Symposium on Visual Computing|ISVC,National: USA
International Conference on Internet Technologies and Applications|ITA,National: USA
Logical Foundations of Computer Science|LFCS,National: USA
Modelling and Optimization: Theory and Applications|MOPTA,National: USA
IEEE Conference on Mass Storage Systems and Technologies|MSST,National: USA
"Symposium on Networked Systems, Design and Implementation|NSDI",National: USA
International Conference on Parallel and Distributed Processing Techniques and Applications|PDPTA,National: USA
Pacific Symposium on Biocomputing|PSB,National: USA
ACM Information Technology Education|SIGITE,National: USA
ACM SIGUCCS Conference on User Services|SIGUCCS,National: USA
Richard Tapia Celebration of Diversity in Computing Conference|Tapia,National: USA
International Visualization in Transportation Symposium|TRB,National: USA
Usable Security and Privacy|USEC,National: USA
Conference on Visualization and Data Analysis|VDA,National: USA
Workshop on Computer Architecture Education|WCAE,National: USA
"World Multi-Conference on Systemics, Cybernetics and Informatics|WMSCI",National: USA
"World Congress in Computer Science, Computer Engineering, and Applied Computing|WORLDCOMP",National: USA
International Conference on Computers and their Applications|CATA,National: USA
Information Security Symposium|CERIAS,National: USA
Conference on Information Sciences and Systems|CISS,National: USA
Florida Artificial Intelligence Research Society Conference|FlAIRS,National: USA
Visualization In Science and Education|GRC,National: USA
International Workshop on the Web and Databases|WebDB,National: USA
"Asilomar Conference on Signals, Systems and Computing|ACSSC",National: USA
American Medical Informatics Annual Fall Symposium|AMIA,National: USA
International Conference on High Performance Scientific Computing|HPSC,National: Vietnam
"International Symposium on Software Engineering: Theories, Tools, and Applications|SETTA",National:China
International Conference on Computing and Combinatorics|COCOON,National:China
"Datenbanksysteme für Business, Technologie und Web|BTW",National:Germany
IEEE International Conference on Cloud Computing in Emerging Markets|CCEM,National:India
International Conference on COMmunication Systems & NETworkS|COMSNETS,National:India
IEEE International Conference on Data Science and Engineering|ICDSE,National:India
The ACM International System and Storage Conference|SYSTOR,National:Israel
International Conference on Methods and Models in Automation and Robotics|MMAR,National:Poland
International Science Conference on Computer Networks|CN,National:Poland
International Conference Information Systems Architecture and Technology|ISAT,National:Poland
IEEE International Scientific Conference on Informatics|Informatics,National:Slovakia
IEEE Conference on Cognitive and Computational Aspects of Situation Management|CogSIMA,National:USA
International Conference on Distributed Computing and Artificial Intelligence|DCAI,National(Spain)
International Conference on Practical Applications of Computational Biology & Bioinformatics|PACBB,National(Spain)
German Conference on Artificial Intelligence|KI,National/Regional
Artificial Intelligence Applications and Innovations|AIAI,National/Regional
ISC High Performance (was International Supercomputing Conference)|ISC,National/Regional
IEEE VLSI Test Symposium|VTS,National/Regional
Winter Simulation Conference|WSC,National/Regional
Iberian Conference on Pattern Recognition and Image Analysis|IBPRIA,National/Regional
IEEE International Conference on Quantum Computing and Engineering|QCE,National/Regional
IEEE Symposium on Field Programmable Custom Computing Machines|FCCM,National/Regional
International Conference on the Quality of Information and Communications Technology|QUATIC,National/Regional
Conference of the Association for Machine Translation in the Americas|AMTA,National/Regional
IEEE Conference of the Open Innovations Association FRUCT|FRUCT,Regional
Malaysia International Conference on Communications|MICC,Regional
Iberian Conference on Information Systems and Technologies|CISTI,Regional
International Baltic Conference on Databases and Information Systems|DB&IS,Regional - Baltic
Semantics - International Conference on Semantic Systems|Semantics,Regional: Austria, Germany, Netherlands
Nordic Conference on Human-Computer Interaction|NordiCHI,Regional:Scandinavia
Robotics: Science and Systems|RSS,TBR
IEEE International Conference on Automation Science and Engineering|CASE,TBR
International Conference on Principles of Security and Trust|POST,Unranked
"International Conference on Ambient Systems, Networks and Technologies|ANT",Unranked
Conference on Robot Learning|CoRL,Unranked
European Dependable Computing Conference|EDCC,Unranked
International Conference on Emerging Ubiquitous Systems and Pervasive Networks|EUSPN,Unranked
The International Conference on Future Networks and Communications|FNC,Unranked
HCist - International Conference on Health and Social Care Information Systems and Technologies|HCist,Unranked
CENTERIS - Conference on ENTERprise Information Systems|CENTERIS,Unranked
International Conference on Digital Economy|ICDEc,Unranked
ProjMAN - International Conference on Project MANagement|ProjMAN,Unranked
International Conference on Information Quality|ICIQ,Unranked
Information Retrieval Facility Conference|IRFC,Unranked
International Conference on the Theory of Information Retrieval|ICTIR,Unranked
International Conference on Virtual Rehabilitation|ICVR,Unranked
Intelligent Distributed Computing|IDC,Unranked
International Conference on Advanced Communications and Computation|INFOCOMP,Unranked
International Teletraffic Congress|ITC,Unranked
International Conference on Mobile Systems and Pervasive Computing|MobiSPC,Unranked
ACM/IEEE Symposium on Edge Computing|SEC,unranked
International Conference on Sustainable Energy Information Technology|SEIT,Unranked
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication|SETIT",Unranked
Utility and Cloud Computing|UCC,Unranked
ACM Conference on Embedded Networked Sensor Systems|SENSYS,unranked: merged
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling|PoEM,unranked: not primarily CS
